geonameid,name,population,latitude,longitude,feature_code,feature_class,admin2_code
760443,Rogów,392,52.40949,22.34465,PPL,P,1429
760445,Rogów,1300,51.20414,20.43483,PPL,P,2605
760446,Rogów,784,51.19839,21.00861,PPL,P,1430
760488,Reszel,5226,54.05042,21.14585,PPL,P,2808
760490,Repki,829,52.38555,22.39117,PPLA3,P,1429
760524,Reguły,1000,52.17556,20.86398,PPL,P,1421
760527,Regnów,340,51.7485,20.38711,PPLA3,P,1013
760528,Regimin,523,52.94166,20.55319,PPLA3,P,1402
760584,Rawa Mazowiecka,17770,51.76437,20.25493,PPLA3,P,1013
760607,Raszyn,7109,52.15603,20.9226,PPL,P,1421
760624,Raniżów,2200,50.25873,21.97137,PPLA3,P,1806
760632,Rakszawa,6894,50.16051,22.23907,PPLA3,P,1810
760658,Raków,418,50.6419,20.38659,PPL,P,2602
760672,Rajgród,1732,53.73102,22.70515,PPL,P,2004
760680,Radzyń Podlaski,16071,51.78333,22.61667,PPLA3,P,0615
760684,Radzymin,8818,52.41592,21.18415,PPLA3,P,1434
760697,Radziłów,1400,53.40994,22.40988,PPL,P,2004
760708,Radziemice,403,50.25434,20.23647,PPL,P,1214
760711,Radziejowice,546,52.00834,20.5477,PPLA3,P,1438
760723,Radzanów,930,52.94238,20.09219,PPLA3,P,1413
760724,Radzanów,356,51.55786,20.86398,PPLA3,P,1401
760727,Radymno,5464,49.9472,22.82375,PPL,P,1804
760729,Radwanówka,448,50.79324,22.22337,PPL,P,0605
760745,Radoszyce,3400,51.07392,20.25836,PPLA3,P,2605
760746,Radoszyce,156,49.30476,22.04441,PPL,P,1817
760765,Radonie,217,52.07244,20.66279,PPL,P,1405
760769,Radomyśl Wielki,2992,50.19693,21.27693,PPL,P,1811
760771,Radomyśl,808,50.68101,21.94365,PPLA3,P,1818
760778,Radom,226794,51.40253,21.14714,PPLA2,P,1463
760783,Radłów,2793,50.08419,20.84967,PPLA3,P,1216
760789,Radków,191,50.4947,23.88385,PPL,P,0618
760803,Radgoszcz,119,53.06257,21.91768,PPL,P,1415
760804,Radgoszcz,3700,50.2058,21.11315,PPLA3,P,1204
760806,Radecznica,920,50.75155,22.82976,PPLA3,P,0620
760815,Radawa,368,50.13323,22.76762,PPL,P,1804
760819,Rączyna,300,49.92835,22.44267,PPL,P,1814
760825,Raczki,2322,53.98749,22.78487,PPL,P,2012
760830,Racławice,1236,50.5137,22.16552,PPL,P,1812
760831,Racławice,510,50.32563,20.23673,PPL,P,1208
760832,Racławice,865,49.74911,21.18919,PPL,P,1205
760834,Raciechowice,870,49.84446,20.14292,PPL,P,1209
760844,Raciąż,4676,52.78152,20.1177,PPLA3,P,1420
760853,Rachanie,990,50.53842,23.54688,PPLA3,P,0618
760871,Pysznica,2800,50.56999,22.12913,PPLA3,P,1818
760892,Puszcza Mariańska,500,51.97901,20.35037,PPLA3,P,1438
760909,Purda,1140,53.70844,20.70683,PPL,P,2814
